FaceIndex	VerticeIndex1	VerticeIndex2	VerticeIndex3
1	1	2	3	
2	1	3	4	
3	2	5	6	
4	2	6	3	
5	5	7	8	
6	5	8	6	
7	7	9	10	
8	7	10	8	
9	9	11	12	
10	9	12	10	
11	11	13	14	
12	11	14	12	
13	13	15	16	
14	13	16	14	
15	15	17	18	
16	15	18	16	
17	17	19	20	
18	17	20	18	
19	19	21	22	
20	19	22	20	
21	21	23	24	
22	21	24	22	
23	23	25	26	
24	23	26	24	
25	25	27	28	
26	25	28	26	
27	27	29	30	
28	27	30	28	
29	29	31	32	
30	29	32	30	
31	31	33	34	
32	31	34	32	
33	33	35	36	
34	33	36	34	
35	35	37	38	
36	35	38	36	
37	37	39	40	
38	37	40	38	
39	39	41	42	
40	39	42	40	
41	41	43	44	
42	41	44	42	
43	43	45	46	
44	43	46	44	
45	45	47	48	
46	45	48	46	
47	47	49	50	
48	47	50	48	
49	49	51	52	
50	49	52	50	
51	51	53	54	
52	51	54	52	
53	53	55	56	
54	53	56	54	
55	55	57	58	
56	55	58	56	
57	57	59	60	
58	57	60	58	
59	59	61	62	
60	59	62	60	
61	61	63	64	
62	61	64	62	
63	63	65	66	
64	63	66	64	
65	65	67	68	
66	65	68	66	
67	67	69	70	
68	67	70	68	
69	69	71	72	
70	69	72	70	
71	71	73	74	
72	71	74	72	
73	73	75	76	
74	73	76	74	
75	75	77	78	
76	75	78	76	
77	77	79	80	
78	77	80	78	
79	79	81	82	
80	79	82	80	
81	81	83	84	
82	81	84	82	
83	83	85	86	
84	83	86	84	
85	85	87	88	
86	85	88	86	
87	87	89	90	
88	87	90	88	
89	89	91	92	
90	89	92	90	
91	91	93	94	
92	91	94	92	
93	93	95	96	
94	93	96	94	
95	95	1	4	
96	95	4	96	
97	97	98	99	
98	97	99	100	
99	98	101	102	
100	98	102	99	
101	101	103	104	
102	101	104	102	
103	103	105	106	
104	103	106	104	
105	105	107	108	
106	105	108	106	
107	107	109	110	
108	107	110	108	
109	109	111	112	
110	109	112	110	
111	111	113	114	
112	111	114	112	
113	113	115	116	
114	113	116	114	
115	115	117	118	
116	115	118	116	
117	117	119	120	
118	117	120	118	
119	119	121	122	
120	119	122	120	
121	121	123	124	
122	121	124	122	
123	123	125	126	
124	123	126	124	
125	125	127	128	
126	125	128	126	
127	127	129	130	
128	127	130	128	
129	129	131	132	
130	129	132	130	
131	131	133	134	
132	131	134	132	
133	133	135	136	
134	133	136	134	
135	135	137	138	
136	135	138	136	
137	137	139	140	
138	137	140	138	
139	139	141	142	
140	139	142	140	
141	141	143	144	
142	141	144	142	
143	143	145	146	
144	143	146	144	
145	145	147	148	
146	145	148	146	
147	147	149	150	
148	147	150	148	
149	149	151	152	
150	149	152	150	
151	151	153	154	
152	151	154	152	
153	153	155	156	
154	153	156	154	
155	155	157	158	
156	155	158	156	
157	157	159	160	
158	157	160	158	
159	159	161	162	
160	159	162	160	
161	161	163	164	
162	161	164	162	
163	163	165	166	
164	163	166	164	
165	165	167	168	
166	165	168	166	
167	167	169	170	
168	167	170	168	
169	169	171	172	
170	169	172	170	
171	171	173	174	
172	171	174	172	
173	173	175	176	
174	173	176	174	
175	175	177	178	
176	175	178	176	
177	177	179	180	
178	177	180	178	
179	179	181	182	
180	179	182	180	
181	181	183	184	
182	181	184	182	
183	183	185	186	
184	183	186	184	
185	185	187	188	
186	185	188	186	
187	187	189	190	
188	187	190	188	
189	189	191	192	
190	189	192	190	
191	191	193	194	
192	191	194	192	
193	193	195	196	
194	193	196	194	
195	195	197	198	
196	195	198	196	
197	197	199	200	
198	197	200	198	
199	199	201	202	
200	199	202	200	
201	201	203	204	
202	201	204	202	
203	203	205	206	
204	203	206	204	
205	205	207	208	
206	205	208	206	
207	207	209	210	
208	207	210	208	
209	209	211	212	
210	209	212	210	
211	211	213	214	
212	211	214	212	
213	213	215	216	
214	213	216	214	
215	215	217	218	
216	215	218	216	
217	217	219	220	
218	217	220	218	
219	219	221	222	
220	219	222	220	
221	221	223	224	
222	221	224	222	
223	223	225	226	
224	223	226	224	
225	225	227	228	
226	225	228	226	
227	227	229	230	
228	227	230	228	
229	229	231	232	
230	229	232	230	
231	231	233	234	
232	231	234	232	
233	233	235	236	
234	233	236	234	
235	235	237	238	
236	235	238	236	
237	237	239	240	
238	237	240	238	
239	239	241	242	
240	239	242	240	
241	241	243	244	
242	241	244	242	
243	243	245	246	
244	243	246	244	
245	245	247	248	
246	245	248	246	
